ClaimNumber,DateOfService,DateOfClaim,SettlementDate,ClaimDescription,ClaimAmount,ClaimStatus,ParticipantSSN,ContractNumber
CLM-6243-644335,5/6/2021,12/5/2021,8/10/2021,Routine diabetes management check-up,635900.38,Reopened,467-39-3991,CNT-CDP-9699-153
CLM-1358-090127,9/2/2013,4/10/2019,4/16/2014,Anxiety disorder cognitive behavioral therapy,89576417.95,Approved,500-59-0428,CNT-CDP-5745-522
CLM-5002-542572,9/12/2011,11/11/2021,9/30/2011,Chronic bronchitis pulmonary function test,84718065.12,Submitted,256-40-9070,CNT-CDP-4366-796
CLM-9231-522365,1/3/2010,9/7/2016,1/16/2021,Thyroid hormone level check for hypothyroidism,90228303.02,Pending Additional Information,339-65-8280,CNT-CDP-6639-838
CLM-9784-204173,8/31/2018,4/26/2024,6/5/2024,Chronic kidney disease dialysis session,474140.71,Submitted,227-42-1289,CNT-CDP-9629-903
CLM-2798-441664,2/14/2010,10/10/2021,4/18/2012,Anxiety disorder cognitive behavioral therapy,94049759.13,Paid,712-05-9042,CNT-CDP-9418-503
CLM-2717-144275,7/30/2015,9/27/2023,6/4/2016,Glaucoma intraocular pressure check,34242694.13,Closed,832-65-0008,CNT-CDP-9640-675
CLM-0662-542349,5/25/2011,1/14/2021,6/17/2014,Endometriosis pain management,44122491.41,In Appeal,115-18-7451,CNT-CDP-3624-661
CLM-2328-635977,12/2/2014,4/9/2023,8/31/2019,Cystic fibrosis respiratory therapy,14628910.28,Partially Approved,320-56-2875,CNT-CDP-3239-793
CLM-1075-570242,10/26/2020,7/12/2023,8/24/2023,Endometriosis pain management,73289120.0,Closed,777-50-3007,CNT-CDP-7791-892
CLM-2181-282740,5/7/2012,1/31/2013,12/31/2014,Endometriosis pain management,77544141.77,Denied,578-44-4378,CNT-CDP-5253-062
CLM-6276-807215,1/14/2011,8/4/2023,2/8/2015,Gout uric acid level monitoring,32610304.42,In Review,571-31-9384,CNT-CDP-8871-124
CLM-8428-348618,5/6/2014,5/23/2023,8/20/2018,Congestive heart failure fluid balance check,52766444.66,Partially Approved,844-90-2852,CNT-CDP-3042-244
CLM-6086-718163,4/27/2019,3/30/2021,11/7/2022,IBS symptom management consultation,85104959.11,Pending Additional Information,734-24-5287,CNT-CDP-4655-347
CLM-4723-086392,6/18/2020,10/27/2021,9/27/2023,Endometriosis pain management,76203926.84,Pending Additional Information,371-10-6472,CNT-CDP-1664-104
CLM-0540-480356,10/6/2016,4/28/2023,4/26/2023,Colorectal cancer follow-up colonoscopy,53994240.39,Denied,393-56-2443,CNT-CDP-9446-125
CLM-4784-163955,6/16/2010,10/15/2015,3/5/2014,Sjogren's syndrome dry eye treatment,33493760.62,Approved,793-83-8892,CNT-CDP-2249-118
CLM-7905-917895,3/16/2011,6/14/2019,5/10/2017,IBS symptom management consultation,9941058.71,Submitted,788-87-2670,CNT-CDP-3067-246
CLM-3026-575669,5/29/2019,10/2/2020,3/28/2024,Gout uric acid level monitoring,76131386.71,Partially Approved,154-33-6862,CNT-CDP-2401-328
CLM-6206-311639,11/21/2012,5/9/2023,8/23/2016,Hepatitis C antiviral therapy follow-up,84617845.81,Approved,201-09-8729,CNT-CDP-0739-372
CLM-5632-450532,8/12/2010,10/12/2015,6/24/2024,Sjogren's syndrome dry eye treatment,76956939.86,Submitted,388-32-5997,CNT-CDP-1490-734
CLM-7469-498698,10/13/2019,2/5/2023,6/24/2022,Sleep apnea CPAP adjustment,77135669.91,In Review,842-58-4665,CNT-CDP-2443-984
CLM-1806-927326,12/1/2017,10/9/2023,9/2/2023,Gout uric acid level monitoring,58983152.22,Paid,653-64-1750,CNT-CDP-4609-512
CLM-3444-884931,2/18/2014,7/7/2024,9/8/2014,Sjogren's syndrome dry eye treatment,70260242.85,In Review,214-20-0594,CNT-CDP-0159-664
CLM-2137-508339,10/23/2014,1/22/2023,10/30/2019,Graves' disease thyroid function test,47297746.41,Reopened,425-87-1720,CNT-CDP-0080-363
CLM-7173-736540,2/23/2019,4/17/2023,8/16/2022,Epilepsy medication level monitoring,25955913.32,Paid,635-24-6226,CNT-CDP-5175-748
CLM-5533-920741,8/1/2016,4/6/2020,10/3/2022,Cystic fibrosis respiratory therapy,5667454.01,Approved,780-39-3950,CNT-CDP-1926-522
CLM-8145-156765,9/2/2015,1/18/2019,9/12/2020,Sjogren's syndrome dry eye treatment,73486028.32,In Review,278-57-5628,CNT-CDP-5380-165
CLM-7915-650985,4/21/2011,1/2/2016,8/30/2013,Congestive heart failure fluid balance check,73499793.71,Pending Additional Information,657-48-0339,CNT-CDP-2849-882
CLM-1272-731753,11/29/2011,9/27/2012,12/14/2021,Breast cancer chemotherapy session,16644858.16,Submitted,270-91-0497,CNT-CDP-3791-760
CLM-2017-962616,9/17/2021,11/3/2022,7/25/2022,Leukemia blood count monitoring,67654902.82,Submitted,114-28-9605,CNT-CDP-5027-740
CLM-4871-996907,1/7/2016,8/5/2022,11/6/2021,Epilepsy medication level monitoring,36333943.17,Paid,516-54-4302,CNT-CDP-3548-047
CLM-6499-390653,2/12/2021,7/13/2024,6/24/2022,Chronic kidney disease dialysis session,12002134.45,Paid,586-57-2593,CNT-CDP-4111-207
CLM-6859-321218,1/8/2014,2/7/2018,10/8/2016,Chronic migraine Botox treatment,74255001.98,Submitted,172-13-8251,CNT-CDP-8515-305
CLM-4771-297078,4/16/2012,5/15/2014,9/23/2014,Addison's disease hormone replacement,26898734.6,Denied,586-78-8802,CNT-CDP-0262-878
CLM-6430-401846,6/3/2010,1/20/2014,11/18/2012,Leukemia blood count monitoring,88447954.55,Submitted,421-40-6233,CNT-CDP-0575-725
CLM-2803-006909,2/13/2018,2/4/2020,6/27/2024,Chronic kidney disease dialysis session,44848286.07,Closed,339-12-3227,CNT-CDP-4435-896
CLM-4274-770895,4/9/2015,12/18/2015,12/16/2015,Routine diabetes management check-up,81042210.39,Partially Approved,676-03-9885,CNT-CDP-5169-262
CLM-6827-510453,6/10/2011,8/20/2016,11/18/2013,Sleep apnea CPAP adjustment,98425564.1,Submitted,513-38-2647,CNT-CDP-1211-129
CLM-2201-154127,7/17/2015,7/22/2015,8/13/2021,Chronic fatigue syndrome assessment,65075982.95,Denied,551-07-9070,CNT-CDP-7326-892
CLM-0728-127883,7/30/2019,5/2/2020,1/10/2022,COPD exacerbation treatment,84586759.89,Denied,791-96-8561,CNT-CDP-6949-058
CLM-8860-576378,9/30/2019,10/27/2019,7/28/2024,Gout uric acid level monitoring,65853330.8,Reopened,849-46-2216,CNT-CDP-8651-605
CLM-2535-729877,4/16/2014,5/20/2018,5/7/2020,Obesity management and counseling,72957267.08,Reopened,877-64-2678,CNT-CDP-5422-296
CLM-6203-239368,4/19/2020,1/29/2022,11/14/2022,Chronic fatigue syndrome assessment,22771480.58,Reopened,324-49-1662,CNT-CDP-0094-053
CLM-0477-558050,8/22/2018,8/17/2020,10/5/2021,Sjogren's syndrome dry eye treatment,84670103.22,In Appeal,351-66-7931,CNT-CDP-1679-951
CLM-5051-785346,10/27/2017,11/13/2018,1/2/2023,Chronic bronchitis pulmonary function test,64885571.02,Paid,162-29-3389,CNT-CDP-3801-216
CLM-8766-267959,6/22/2011,4/28/2017,2/18/2015,COPD exacerbation treatment,84681960.35,In Review,363-42-4934,CNT-CDP-1794-354
CLM-2728-051490,1/1/2013,6/15/2017,3/13/2023,Epilepsy medication level monitoring,91512521.14,Partially Approved,802-85-1792,CNT-CDP-7535-994
CLM-6120-735497,2/15/2013,10/31/2020,8/21/2018,Congestive heart failure fluid balance check,73458196.89,In Appeal,638-76-7088,CNT-CDP-4776-326
CLM-8133-905063,1/28/2020,2/11/2022,3/29/2022,Cystic fibrosis respiratory therapy,22041731.61,Approved,657-30-8895,CNT-CDP-2771-099
CLM-3694-496897,7/3/2013,12/10/2022,12/4/2014,Addison's disease hormone replacement,26360758.24,Approved,695-21-6633,CNT-CDP-1345-667
CLM-3200-378067,1/21/2012,3/21/2012,12/17/2020,Endometriosis pain management,97341938.72,In Review,244-09-6336,CNT-CDP-3006-027
CLM-1506-374789,9/2/2020,11/18/2021,1/23/2024,Hepatitis C antiviral therapy follow-up,22346685.33,In Review,651-63-9260,CNT-CDP-8780-105
CLM-9110-760005,4/21/2014,12/31/2022,6/1/2019,Hypertension medication adjustment,14760750.87,Partially Approved,649-53-5168,CNT-CDP-9280-625
CLM-1931-471499,10/8/2013,4/18/2014,5/16/2017,Ulcerative colitis colonoscopy,4407849.53,Submitted,668-97-1300,CNT-CDP-8392-022
CLM-7423-404034,6/2/2014,6/27/2019,12/12/2023,Obesity management and counseling,21096718.51,Partially Approved,509-51-9098,CNT-CDP-2679-508
CLM-4723-535492,1/13/2016,3/6/2018,5/20/2018,Diabetic retinopathy eye exam,8378549.12,Partially Approved,357-93-3114,CNT-CDP-7874-672
CLM-6120-574052,5/2/2013,5/2/2015,3/29/2014,Glaucoma intraocular pressure check,89906414.11,In Appeal,257-62-2710,CNT-CDP-0202-399
CLM-5585-478926,3/13/2012,2/3/2013,6/10/2016,Chronic fatigue syndrome assessment,37042976.09,Reopened,531-15-4229,CNT-CDP-9831-777
CLM-7281-177537,8/19/2020,6/4/2022,8/20/2020,Graves' disease thyroid function test,84969810.65,Closed,699-24-1267,CNT-CDP-5205-557
CLM-4550-243102,1/26/2011,9/25/2018,7/24/2019,Peripheral artery disease circulation check,57500946.59,Approved,626-16-5442,CNT-CDP-6938-214
CLM-6897-257878,10/3/2013,7/1/2014,7/27/2022,Fibromyalgia pain management session,6110877.99,In Review,336-51-1145,CNT-CDP-0640-615
CLM-6474-734722,8/25/2016,11/27/2018,3/26/2021,Leukemia blood count monitoring,91421281.92,Reopened,897-07-0527,CNT-CDP-2299-141
CLM-6652-244533,1/23/2018,2/8/2022,4/5/2019,Hypertension medication adjustment,1305822.07,Partially Approved,127-80-4935,CNT-CDP-1357-115
CLM-4551-808923,9/19/2010,7/7/2011,8/15/2012,Congestive heart failure fluid balance check,54677922.14,In Appeal,501-13-1494,CNT-CDP-6574-463
CLM-3465-401705,6/20/2015,4/28/2021,2/4/2019,Rheumatoid arthritis joint assessment,1368789.65,Approved,650-92-2421,CNT-CDP-9352-861
CLM-0006-829457,12/27/2013,7/24/2017,8/21/2021,Chronic fatigue syndrome assessment,64587897.91,Paid,484-65-5812,CNT-CDP-4529-606
CLM-0716-388112,6/20/2018,4/15/2023,5/9/2023,Prostate cancer PSA level check,23331494.3,In Appeal,850-39-5208,CNT-CDP-2962-572
CLM-3114-861122,6/25/2021,6/5/2022,9/20/2022,Chronic kidney disease dialysis session,13160279.34,Approved,256-36-7918,CNT-CDP-4223-178
CLM-7830-422613,12/13/2021,4/29/2022,8/31/2023,Hepatitis C antiviral therapy follow-up,59608086.09,Partially Approved,889-33-6863,CNT-CDP-9917-012
CLM-5501-706225,8/27/2012,4/28/2019,5/22/2021,Breast cancer chemotherapy session,51399789.35,Submitted,663-13-8483,CNT-CDP-6974-932
CLM-7546-718013,1/23/2010,7/10/2023,9/11/2021,Congestive heart failure fluid balance check,76870163.52,Pending Additional Information,134-31-0510,CNT-CDP-4868-339
CLM-5660-729250,7/27/2012,5/10/2020,6/2/2016,Hepatitis C antiviral therapy follow-up,15166309.54,Submitted,886-72-7043,CNT-CDP-1334-847
CLM-3367-805955,10/7/2010,3/30/2014,4/30/2019,Rheumatoid arthritis joint assessment,91896248.31,In Review,122-94-5610,CNT-CDP-6587-959
CLM-1657-628050,7/19/2017,8/11/2017,3/21/2020,Addison's disease hormone replacement,32076819.79,Denied,719-98-7695,CNT-CDP-9212-796
CLM-2049-667444,12/29/2019,7/3/2020,10/7/2022,Addison's disease hormone replacement,34155183.64,Submitted,166-17-6866,CNT-CDP-5391-438
CLM-1260-537138,3/4/2017,10/11/2023,6/22/2021,Hypertension medication adjustment,21516650.24,In Review,404-28-3795,CNT-CDP-0551-871
CLM-9172-828057,12/13/2012,5/17/2013,8/10/2018,Cystic fibrosis respiratory therapy,8387969.19,In Review,596-37-3887,CNT-CDP-1172-175
CLM-1047-447597,7/21/2014,8/21/2019,11/30/2023,Addison's disease hormone replacement,39208223.44,Submitted,866-98-6594,CNT-CDP-8294-341
CLM-4119-458895,2/8/2017,4/5/2019,2/9/2023,Hemophilia factor replacement therapy,8023472.5,Pending Additional Information,896-48-8669,CNT-CDP-0608-681
CLM-8285-804618,11/3/2020,9/1/2023,10/27/2022,Chronic depression therapy session,78502419.49,Reopened,443-73-8568,CNT-CDP-7627-194
CLM-9153-992241,10/14/2019,4/17/2024,4/10/2020,Parkinson's disease tremor assessment,9514999.79,Approved,125-66-3405,CNT-CDP-6869-221
CLM-4036-600141,10/1/2018,4/18/2020,3/27/2020,Breast cancer chemotherapy session,72208788.71,In Review,425-34-1041,CNT-CDP-6241-655
CLM-7408-247720,5/30/2017,5/2/2021,3/23/2022,Cystic fibrosis respiratory therapy,98858156.03,Approved,662-36-0439,CNT-CDP-1557-690
CLM-7578-059514,7/29/2018,12/7/2023,11/1/2023,Atrial fibrillation anticoagulation check,12065034.14,In Appeal,540-36-1872,CNT-CDP-8822-651
CLM-7663-968223,12/15/2013,9/22/2023,10/26/2014,IBS symptom management consultation,32266442.73,In Appeal,672-90-0990,CNT-CDP-1755-795
CLM-9103-051931,6/18/2011,12/6/2011,3/31/2023,Alzheimer's disease cognitive assessment,32682448.61,Denied,491-07-1341,CNT-CDP-2104-665
CLM-0371-970524,3/30/2018,2/26/2022,5/7/2019,Graves' disease thyroid function test,28813918.97,In Appeal,829-19-7105,CNT-CDP-5426-463
CLM-0923-750852,3/21/2021,7/7/2021,4/17/2023,Peripheral artery disease circulation check,30677059.2,Closed,740-94-8758,CNT-CDP-3241-357
CLM-2421-148532,7/5/2017,2/19/2022,12/3/2020,COPD exacerbation treatment,99551112.1,Reopened,237-94-7864,CNT-CDP-5737-022
CLM-3505-952543,9/27/2019,3/12/2022,12/4/2022,Colorectal cancer follow-up colonoscopy,96775387.91,Partially Approved,234-24-0094,CNT-CDP-9333-709
CLM-6757-710283,9/21/2010,11/18/2023,2/1/2017,Polycystic kidney disease ultrasound,49707807.46,Approved,224-02-5618,CNT-CDP-7588-295
CLM-0760-636004,12/3/2018,2/23/2023,7/6/2022,Schizophrenia antipsychotic injection,83106241.41,Submitted,452-29-2324,CNT-CDP-3274-672
CLM-1574-289640,7/10/2018,9/15/2019,9/14/2019,Hypertension medication adjustment,20587596.87,Approved,754-61-0653,CNT-CDP-4427-989
CLM-1218-588956,11/4/2017,1/19/2021,5/8/2021,Multiple sclerosis neurological exam,89423470.17,Partially Approved,445-63-8673,CNT-CDP-2988-949
